<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	06:00:00	108.705	108.742	108.697	108.740	517	0	3
2020.01.02	07:00:00	108.740	108.755	108.730	108.740	620	0	2
2020.01.02	08:00:00	108.740	108.747	108.711	108.711	485	0	2
2020.01.02	09:00:00	108.708	108.798	108.692	108.784	1618	0	2
2020.01.02	10:00:00	108.784	108.817	108.764	108.778	1979	0	2
2020.01.02	11:00:00	108.779	108.842	108.773	108.837	1521	0	2
2020.01.02	12:00:00	108.837	108.864	108.790	108.805	1261	0	2
2020.01.02	13:00:00	108.805	108.811	108.768	108.771	1195	0	2
2020.01.02	14:00:00	108.771	108.805	108.754	108.785	918	0	2
2020.01.02	15:00:00	108.786	108.787	108.655	108.691	1504	0	2
2020.01.02	16:00:00	108.691	108.748	108.635	108.672	2016	0	2
2020.01.02	17:00:00	108.671	108.679	108.210	108.270	3403	0	2
2020.01.02	18:00:00	108.269	108.441	108.258	108.432	2042	0	2
2020.01.02	19:00:00	108.431	108.551	108.429	108.525	1643	0	2
2020.01.02	20:00:00	108.525	108.559	108.496	108.520	1264	0	2
2020.01.02	21:00:00	108.520	108.571	108.509	108.545	1312	0	2
2020.01.02	22:00:00	108.545	108.558	108.490	108.554	992	0	2
2020.01.02	23:00:00	108.554	108.562	108.525	108.561	418	0	3
2020.01.03	00:00:00	108.558	108.566	108.497	108.532	441	0	6
2020.01.03	01:00:00	108.535	108.627	108.532	108.542	752	0	3
2020.01.03	02:00:00	108.542	108.561	108.390	108.404	1190	0	2
2020.01.03	03:00:00	108.404	108.440	108.163	108.201	2044	0	2
2020.01.03	04:00:00	108.202	108.240	107.998	108.059	3945	0	2
2020.01.03	05:00:00	108.059	108.183	108.002	108.180	2318	0	2
2020.01.03	06:00:00	108.180	108.230	108.125	108.131	1746	0	2
2020.01.03	07:00:00	108.131	108.162	108.078	108.121	1917	0	2
2020.01.03	08:00:00	108.121	108.151	108.077	108.139	1089	0	2
2020.01.03	09:00:00	108.139	108.140	107.914	107.945	3179	0	2
2020.01.03	10:00:00	107.945	108.071	107.929	107.991	3550	0	2
2020.01.03	11:00:00	107.991	108.067	107.919	108.066	3045	0	2
2020.01.03	12:00:00	108.066	108.128	108.014	108.049	3243	0	2
2020.01.03	13:00:00	108.049	108.114	107.995	108.026	2594	0	2
2020.01.03	14:00:00	108.026	108.154	108.021	108.082	2193	0	2
2020.01.03	15:00:00	108.085	108.160	108.085	108.156	2297	0	2
2020.01.03	16:00:00	108.154	108.265	108.141	108.220	2997	0	2
2020.01.03	17:00:00	108.207	108.207	107.995	108.037	4506	0	2
2020.01.03	18:00:00	108.037	108.038	107.915	107.944	2430	0	2
2020.01.03	19:00:00	107.944	107.986	107.931	107.966	1532	0	2
2020.01.03	20:00:00	107.966	108.073	107.840	108.054	2547	0	2
2020.01.03	21:00:00	108.055	108.090	108.010	108.011	2037	0	3
2020.01.03	22:00:00	108.010	108.118	108.010	108.091	1483	0	2
2020.01.03	23:00:00	108.092	108.122	108.085	108.101	594	0	2
2020.01.06	00:00:00	107.895	107.938	107.801	107.803	1124	0	3
2020.01.06	01:00:00	107.803	107.978	107.769	107.968	3509	0	2
2020.01.06	02:00:00	107.968	108.120	107.946	108.065	3874	0	2
2020.01.06	03:00:00	108.065	108.082	107.914	107.945	2470	0	2
2020.01.06	04:00:00	107.945	108.054	107.928	108.029	1850	0	2
2020.01.06	05:00:00	108.029	108.074	108.007	108.054	1281	0	3
2020.01.06	06:00:00	108.054	108.103	108.032	108.061	1319	0	2
2020.01.06	07:00:00	108.061	108.070	108.032	108.057	1033	0	2
2020.01.06	08:00:00	108.058	108.070	107.970	108.050	1703	0	2
2020.01.06	09:00:00	108.051	108.175	108.026	108.100	2217	0	2
2020.01.06	10:00:00	108.106	108.134	107.949	107.975	3104	0	2
2020.01.06	11:00:00	107.973	108.031	107.924	107.983	2281	0	2
2020.01.06	12:00:00	107.983	108.034	107.979	107.998	1662	0	2
2020.01.06	13:00:00	107.998	108.080	107.988	108.058	1392	0	2
2020.01.06	14:00:00	108.060	108.162	108.040	108.157	1400	0	2
2020.01.06	15:00:00	108.157	108.161	108.073	108.119	1540	0	2
2020.01.06	16:00:00	108.118	108.151	108.063	108.139	2498	0	2
2020.01.06	17:00:00	108.139	108.363	108.105	108.319	3206	0	2
2020.01.06	18:00:00	108.319	108.413	108.289	108.369	2076	0	2
2020.01.06	19:00:00	108.369	108.398	108.345	108.349	1094	0	2
2020.01.06	20:00:00	108.344	108.393	108.340	108.366	1143	0	2
2020.01.06	21:00:00	108.366	108.504	108.352	108.453	1262	0	2
2020.01.06	22:00:00	108.453	108.460	108.417	108.436	1135	0	2
2020.01.06	23:00:00	108.438	108.445	108.361	108.362	610	0	2
2020.01.07	00:00:00	108.358	108.376	108.277	108.369	738	0	3
2020.01.07	01:00:00	108.370	108.419	108.363	108.411	1196	0	2
2020.01.07	02:00:00	108.411	108.453	108.376	108.425	2091	0	2
2020.01.07	03:00:00	108.426	108.460	108.374	108.432	1856	0	2
2020.01.07	04:00:00	108.432	108.481	108.420	108.472	1509	0	2
2020.01.07	05:00:00	108.472	108.495	108.443	108.470	1104	0	2
2020.01.07	06:00:00	108.470	108.502	108.459	108.496	1009	0	2
2020.01.07	07:00:00	108.496	108.505	108.431	108.432	1125	0	2
2020.01.07	08:00:00	108.433	108.451	108.338	108.442	2497	0	2
2020.01.07	09:00:00	108.445	108.445	108.260	108.316	2733	0	2
2020.01.07	10:00:00	108.316	108.500	108.308	108.452	3316	0	2
